Fx,Fy,Fz,Tx,Ty,r,z
1.4E-01,1.2E-12,0.382,-4.0E-10,1.2E+00,9,14
1.2E-01,6.3E-12,0.356,2.3E-11,1.0E+00,9,15
5.1E-01,1.7E-11,1.121,-3.2E-10,9.4E+00,10,0
4.7E-01,1.4E-11,1.028,2.8E-11,8.1E+00,10,1
4.3E-01,1.5E-11,0.944,-6.9E-12,7.1E+00,10,2
3.9E-01,2.9E-11,0.867,2.9E-10,6.1E+00,10,3
3.6E-01,-1.0E-11,0.798,1.8E-10,5.3E+00,10,4
3.3E-01,1.6E-11,0.736,-4.4E-10,4.6E+00,10,5
3.0E-01,-3.8E-11,0.679,1.6E-10,4.0E+00,10,6
2.7E-01,1.4E-11,0.627,1.3E-10,3.5E+00,10,7
2.5E-01,1.5E-12,0.579,1.1E-10,3.0E+00,10,8
2.3E-01,2.2E-12,0.536,-1.1E-10,2.6E+00,10,9
2.1E-01,6.8E-13,0.497,8.0E-11,2.3E+00,10,10
1.9E-01,6.3E-12,0.461,2.5E-10,2.0E+00,10,11
1.8E-01,-1.1E-11,0.428,-1.4E-10,1.7E+00,10,12
1.6E-01,2.0E-11,0.398,8.6E-11,1.5E+00,10,13
1.5E-01,7.7E-12,0.370,-4.8E-11,1.3E+00,10,14
1.4E-01,2.6E-12,0.344,-2.0E-10,1.1E+00,10,15
5.6E-01,-3.1E-11,1.074,-2.2E-10,9.8E+00,11,0
5.1E-01,-6.9E-12,0.985,-1.1E-10,8.5E+00,11,1
4.7E-01,6.9E-12,0.904,3.2E-10,7.3E+00,11,2
4.2E-01,1.7E-11,0.831,-5.2E-10,6.4E+00,11,3
3.9E-01,-1.7E-11,0.765,-4.4E-10,5.5E+00,11,4
3.5E-01,-3.0E-11,0.705,4.2E-11,4.8E+00,11,5
3.2E-01,-6.3E-12,0.650,-2.3E-10,4.1E+00,11,6
3.0E-01,1.4E-11,0.601,-1.8E-10,3.6E+00,11,7
2.7E-01,-1.7E-14,0.556,-3.1E-10,3.1E+00,11,8
2.5E-01,-8.4E-12,0.515,4.3E-11,2.7E+00,11,9
2.3E-01,7.0E-12,0.478,1.2E-10,2.3E+00,11,10
2.1E-01,-6.0E-12,0.443,7.5E-11,2.0E+00,11,11
1.9E-01,-1.4E-11,0.412,-7.2E-11,1.8E+00,11,12
1.7E-01,-2.7E-12,0.383,-1.0E-10,1.5E+00,11,13
1.6E-01,-6.8E-12,0.357,-2.9E-10,1.3E+00,11,14
1.5E-01,7.7E-12,0.332,1.7E-10,1.1E+00,11,15
6.0E-01,3.3E-11,1.022,-1.6E-09,1.0E+01,12,0
5.5E-01,-2.4E-10,0.937,-3.1E-10,8.7E+00,12,1
5.0E-01,-2.0E-10,0.860,-2.6E-09,7.5E+00,12,2
4.5E-01,-4.0E-11,0.790,1.4E-09,6.5E+00,12,3
4.1E-01,9.5E-11,0.728,-8.8E-10,5.6E+00,12,4
3.8E-01,-1.6E-10,0.671,2.6E-10,4.9E+00,12,5
3.4E-01,-4.7E-11,0.620,1.5E-09,4.2E+00,12,6
3.1E-01,-9.0E-11,0.573,2.7E-10,3.7E+00,12,7
2.9E-01,-1.3E-11,0.531,-7.6E-10,3.2E+00,12,8
2.6E-01,4.6E-11,0.492,-2.5E-09,2.8E+00,12,9
2.4E-01,-6.2E-12,0.457,-9.5E-10,2.4E+00,12,10
2.2E-01,1.9E-11,0.424,-3.5E-09,2.1E+00,12,11
2.0E-01,2.1E-11,0.395,-8.3E-10,1.8E+00,12,12
1.9E-01,1.9E-11,0.368,6.0E-10,1.6E+00,12,13
1.7E-01,2.4E-11,0.343,3.9E-09,1.3E+00,12,14
1.6E-01,-7.4E-13,0.320,2.7E-09,1.2E+00,12,15
6.4E-01,4.3E-11,0.965,-1.9E-10,1.0E+01,13,0
5.8E-01,-7.7E-12,0.884,1.8E-10,8.7E+00,13,1
5.3E-01,-3.6E-11,0.812,1.1E-10,7.6E+00,13,2
4.8E-01,1.5E-11,0.747,5.2E-10,6.5E+00,13,3
4.4E-01,5.6E-12,0.688,3.7E-10,5.7E+00,13,4
4.0E-01,-9.5E-12,0.636,-4.5E-10,4.9E+00,13,5
3.6E-01,1.2E-11,0.588,-8.3E-11,4.3E+00,13,6
3.3E-01,2.3E-11,0.544,2.6E-10,3.7E+00,13,7
3.0E-01,5.2E-13,0.504,8.3E-11,3.2E+00,13,8
2.8E-01,7.7E-12,0.468,-3.6E-11,2.8E+00,13,9
2.5E-01,2.2E-12,0.435,4.3E-11,2.4E+00,13,10
2.3E-01,3.6E-12,0.405,-6.4E-11,2.1E+00,13,11
2.1E-01,-3.0E-12,0.377,9.5E-12,1.8E+00,13,12
2.0E-01,-2.1E-11,0.351,-4.4E-10,1.6E+00,13,13
1.8E-01,-6.7E-12,0.328,8.7E-11,1.4E+00,13,14
1.6E-01,3.1E-13,0.306,1.2E-10,1.2E+00,13,15
6.7E-01,2.2E-11,0.902,-3.2E-10,1.0E+01,14,0
6.1E-01,4.3E-12,0.827,-4.7E-11,8.7E+00,14,1
5.5E-01,-2.1E-11,0.761,2.0E-10,7.5E+00,14,2
5.0E-01,-2.8E-11,0.701,-2.1E-10,6.5E+00,14,3
