x,y,z,runtime
-10.01,-10.01,0.00,906
0.04,-4.95,0.00,905
10.00,-10.00,14.93,907
-0.05,10.01,0.00,998
9.99,-10.00,5.01,1469
9.99,-0.01,-0.00,804
-0.00,-0.03,5.01,907
-0.05,4.98,0.00,894
9.89,0.05,-0.00,802
-0.03,0.01,0.00,904
-9.91,10.00,-0.00,805
-9.97,-0.04,5.01,1461
-0.04,10.01,0.00,1000
-9.99,-10.02,0.00,909
-0.02,10.00,0.00,903
10.00,-9.99,-0.00,797
0.03,9.93,9.98,906
0.01,-9.97,4.99,1463
10.05,9.97,5.00,1456
0.02,0.03,-0.01,805
9.85,-0.19,10.01,908
-0.01,15.00,10.04,2118
9.99,-9.99,-0.00,809
9.99,10.00,0.00,893
0.02,0.03,-0.01,801
15.15,-0.16,15.01,805
-0.11,4.98,10.00,1466
9.99,10.02,4.98,1468
7.10,-0.01,0.00,901
0.01,-9.89,15.03,811
-0.06,10.01,0.00,997
-0.04,10.01,0.00,999
9.98,10.01,-0.00,802
-10.08,-10.03,5.00,1469
9.83,-4.95,-0.00,796
9.96,-0.01,4.98,1465
-0.02,10.00,0.00,890
0.14,0.04,10.02,907
-10.01,-10.01,-0.00,807
-14.97,9.99,0.02,1003
-10.01,-4.98,0.01,906
-4.96,-4.98,-0.01,803
9.99,10.00,0.01,903
-9.99,-10.00,0.00,907
-15.02,-10.02,-0.00,807
-0.04,-14.96,4.99,1554
-10.03,10.06,10.02,1469
-0.05,-9.99,-0.00,799
-9.98,10.02,0.01,905
-10.01,-10.01,-0.00,806
9.97,0.06,5.01,1460
-9.98,9.92,0.01,907
-0.01,10.02,0.00,1000
10.00,10.01,5.00,1459
-9.99,10.04,5.01,1457
-5.08,-15.06,0.01,1003
-0.01,-9.99,0.00,908
-9.97,-0.02,0.00,906
-9.99,-0.02,0.00,911
9.96,10.01,-0.00,801
-9.96,0.17,15.00,810
-9.98,-0.01,-0.00,798
0.03,15.03,5.02,998
-9.96,-0.01,-0.01,809
-0.02,-9.98,-0.00,801
-10.11,10.00,14.99,908
-0.03,0.01,0.00,903
-10.01,-10.00,4.96,1461
-4.95,-15.05,0.01,1003
9.93,-0.01,5.01,1469
-10.00,-10.00,-0.00,809
-0.06,-10.02,-0.00,806
-9.95,10.02,0.01,905
3.76,0.17,14.90,898
-0.01,10.02,0.01,999
9.99,10.03,-0.01,794
9.97,10.00,-0.00,799
9.97,10.01,-0.00,794
10.10,-15.06,-0.00,805
-0.02,-9.98,-0.00,792
-9.99,-10.00,0.00,906
0.03,-0.02,10.02,906
-9.95,10.03,10.03,1461
9.97,10.04,0.00,903
0.05,-9.98,-0.00,797
-9.97,-0.04,4.99,1473
-0.00,-0.03,5.01,900
9.99,-9.99,-0.00,805
9.96,10.01,-0.00,792
-10.03,-9.99,4.99,1464
-0.06,10.01,0.00,998
-9.98,9.93,0.01,905
-9.99,-5.00,0.00,907
9.98,10.01,-0.00,795
9.99,10.00,0.01,901
-9.95,-0.00,0.02,907
10.00,-15.01,-0.00,806
4.90,0.00,0.01,895
-9.97,-0.04,0.01,908
0.04,0.02,-0.00,793
-10.02,-10.03,-0.00,804
9.99,-10.02,5.00,1470
-0.06,9.91,10.03,909
0.05,-9.99,0.01,911
9.99,-10.04,5.00,1469
-0.03,10.04,9.99,1002
4.89,4.90,0.01,900
-9.96,9.81,10.00,1472
9.99,10.00,0.00,902
0.28,-10.00,-0.00,806
0.02,0.02,-0.00,797
0.04,0.02,-0.00,802
5.03,0.10,-0.00,801
-10.06,-10.05,5.02,1466
9.99,-10.02,4.97,1462
10.01,-10.01,0.00,907
-9.95,-9.97,-0.00,805
10.00,-9.98,-0.01,805
-9.91,-9.97,15.02,811
-9.98,10.02,0.01,905
9.96,10.01,-0.00,803
10.00,10.04,-0.00,795
-9.90,-10.01,10.00,1464
0.01,10.01,0.00,1000
9.94,9.99,-0.01,802
-10.00,-10.03,0.01,907
-9.93,-14.96,0.00,1569
0.04,-4.95,0.00,903
0.02,0.02,-0.00,792
9.98,-10.02,-0.00,805
-0.01,0.03,-0.01,801
0.02,0.02,-0.01,805
-9.91,10.00,-0.00,803
5.18,-0.05,-0.01,801
-0.04,10.03,4.99,1001
-0.43,9.83,15.05,803
4.95,-5.01,-0.01,807
9.99,-10.04,5.00,1461
-0.05,10.06,9.99,1002
5.02,-5.02,5.01,1458
-9.98,-0.04,5.01,1470
-9.99,-10.00,0.00,907
0.02,-9.98,4.99,1464
-9.87,9.91,-0.00,806
0.08,0.13,10.00,1473
-9.95,-9.98,4.97,1470
-10.01,-10.01,-0.00,811
-0.02,-9.98,-0.00,801
9.97,10.02,0.00,897
-14.99,-14.98,-0.00,805
-10.01,-9.98,4.97,1474
15.15,0.06,-0.01,802
9.95,9.97,0.01,902
9.90,0.03,-0.00,805
-0.01,0.05,0.01,904
-14.90,4.93,0.01,1004
4.87,4.86,0.01,899
-0.01,10.02,0.00,995
9.95,9.97,0.01,902
9.97,0.00,-0.00,804
-9.98,10.03,0.00,896
-4.98,0.04,0.00,906
-10.12,-0.05,9.98,1004
-0.01,10.01,0.01,1558
9.92,10.05,15.04,801
-9.98,-10.02,0.00,907
0.12,0.01,10.03,901
9.95,9.97,0.01,902
-9.96,-10.00,0.01,905
0.05,4.97,4.98,1461
4.89,4.90,0.01,904
-10.00,-10.00,-0.00,799
-19.92,0.01,0.01,1004
9.97,10.01,-0.00,800
9.99,-9.99,-0.00,805
-4.91,-5.01,14.96,909
-0.04,9.92,9.99,905
-9.96,-0.05,4.99,1464
9.96,9.97,0.01,901
-9.96,0.01,0.00,908
9.95,-10.00,-0.00,805
9.97,10.04,-0.01,801
-9.98,-9.98,0.01,907
9.97,0.03,0.00,905
-9.96,-10.06,10.02,1460
-9.95,-0.00,0.02,908
9.90,0.06,-0.00,800
-0.02,4.96,0.00,894
-0.03,-10.05,5.02,1569
-9.96,-10.00,0.00,910
9.95,-10.00,-0.00,799
0.02,4.98,-0.00,801
0.05,-9.98,-0.00,804
14.57,-0.03,10.01,2106
0.02,-9.97,4.97,1463
0.08,-9.98,-0.00,808
9.98,9.99,0.00,904
0.02,-4.96,0.00,899
9.99,-10.01,0.00,907
9.98,10.00,0.00,901
-4.87,-0.16,15.01,802
-0.01,10.03,0.00,998
-9.97,-0.04,4.99,1473
-0.05,4.98,0.00,901
-0.08,10.02,10.03,1003
-9.98,-0.03,0.01,909
-0.03,0.01,0.00,904
-9.95,-0.01,0.00,908
-10.03,10.03,9.98,1467
5.00,10.00,0.00,902
-9.97,-5.00,0.01,907
9.91,14.99,0.01,1560
14.74,-0.01,-0.00,794
9.98,-0.04,4.99,1468
9.94,9.99,-0.01,804
0.05,14.88,10.03,2113
9.98,0.03,0.00,902
-0.05,-9.99,-0.00,806
10.10,-0.13,14.96,1003
-0.05,-10.01,0.00,1005
-9.99,9.85,0.01,906
9.99,10.00,0.00,902
-0.04,-14.95,4.99,1556
-9.95,10.02,0.01,906
9.98,9.99,0.00,901
4.91,-5.06,-0.01,803
7.10,-0.01,0.00,902
-9.90,9.93,0.00,903
9.96,9.97,0.01,903
-9.96,-9.96,-0.00,806
-9.97,-10.03,0.00,907
-14.95,-10.00,-0.00,809
0.00,-10.00,-0.00,798
-5.00,-5.14,9.99,1460
9.97,0.03,0.00,904
-14.93,0.00,0.00,1004
14.59,-0.03,10.01,2112
0.02,-4.96,0.00,903
10.00,-10.00,-0.01,809
-9.98,-10.02,4.99,1466
-4.95,0.03,0.00,905
0.00,-9.98,5.00,1462
0.03,-4.94,-0.00,805
-9.97,9.91,0.01,905
14.96,14.99,0.01,805
-9.97,0.02,0.01,907
14.90,-4.99,-0.00,803
0.01,0.02,-0.00,803
10.04,-9.98,10.00,1459
0.02,4.99,0.00,900
-9.95,-0.05,10.02,902
-9.95,-0.05,0.00,911
-0.08,-0.05,14.99,902
-9.91,0.00,4.99,1463
10.01,9.97,5.01,1453
9.98,10.00,0.00,905
-4.95,-9.99,0.01,910
-10.09,-10.09,5.00,1457
-0.02,10.02,5.00,1001
-5.10,0.03,4.98,1461
9.96,9.97,0.01,902
-0.03,-0.01,5.00,909
10.03,10.00,5.00,1466
5.19,-0.08,-0.00,793
-0.02,10.02,0.01,995
-10.01,-5.03,0.01,908
-4.99,0.03,0.00,908
9.98,9.99,0.00,901
0.02,-9.95,5.00,1470
0.02,-4.94,0.00,907
-9.95,-9.96,0.00,910
9.96,-0.02,5.01,1471
-9.96,-10.02,4.97,1463
9.97,10.00,-0.00,800
-0.02,-9.98,-0.00,805
0.01,19.88,0.11,1553
9.94,-15.04,-0.00,806
14.79,-15.06,-0.01,806
10.01,-10.03,9.94,1472
-14.92,15.02,0.02,801
-0.01,10.01,0.00,1000
-9.98,9.86,0.01,906
0.00,-15.04,-0.01,806
0.03,0.02,-0.01,803
-0.01,-9.94,0.01,909
9.96,15.00,0.01,998
-4.96,0.03,0.00,904
-4.98,0.02,0.00,903
-4.96,-4.98,-0.01,808
-9.98,-9.97,0.00,909
-0.06,15.00,-0.01,800
-10.02,10.05,10.02,1462
-10.01,-0.02,-0.01,806
-0.13,-9.86,14.98,911
10.01,-9.99,-0.01,804
9.99,10.00,0.00,903
0.01,-9.96,-0.00,808
-9.97,-0.07,0.01,907
10.00,-0.27,14.96,1002
-14.78,-0.02,14.99,1005
0.01,-9.96,-0.00,807
10.00,9.99,5.00,1464
10.00,-9.98,-0.00,799
-9.98,-10.02,0.00,907
0.02,0.01,-0.01,795
0.02,0.09,0.01,901
10.00,-9.99,-0.00,806
9.95,-9.99,-0.00,810
-9.96,-10.00,15.00,898
-9.97,0.01,0.00,908
10.05,9.95,4.99,1466
0.02,4.98,-0.00,794
10.10,0.08,4.99,1001
-9.84,-0.03,9.96,909
-0.08,-10.02,0.00,1004
14.96,14.99,0.01,799
-9.96,9.83,0.01,1458
0.05,-9.98,-0.00,807
-4.91,-10.00,0.01,900
0.01,10.01,0.00,998
9.98,10.00,-0.00,800
5.00,5.11,14.99,909
0.00,10.00,0.00,1000
-9.98,10.03,0.01,907
-9.98,-5.00,0.00,907
9.96,10.03,-0.00,802
-4.98,5.02,0.00,903
9.99,-10.00,-0.00,805
-0.01,10.03,0.00,999
9.99,10.01,0.01,903
-0.10,10.01,10.07,1001
9.99,-10.00,-0.00,807
10.01,9.92,5.01,1457
-14.99,-14.98,-0.00,806
-4.96,-4.98,-0.01,803
